,index,celltype,inter
0,#B16BA8,#B16BA8,31
1,#F39426,#B16BA8,64
2,B cells Memory,#B16BA8,17
3,B cells Naive,#B16BA8,8
4,CAFs MSC iCAF-like,#B16BA8,95
5,CAFs myCAF-like,#B16BA8,129
6,Cancer Basal SC,#B16BA8,69
7,Cycling T-cells,#B16BA8,36
8,Cycling_Myeloid,#B16BA8,28
9,DCs,#B16BA8,36
10,Endothelial ACKR1,#B16BA8,85
11,Endothelial CXCL12,#B16BA8,67
12,Endothelial RGS5,#B16BA8,79
13,Luminal Progenitors,#B16BA8,66
14,Macrophage,#B16BA8,49
15,Mature Luminal,#B16BA8,77
16,Monocyte,#B16BA8,35
17,Myoepithelial,#B16BA8,108
18,NK cells,#B16BA8,22
19,NKT cells,#B16BA8,30
20,PVL Differentiated,#B16BA8,64
21,PVL Immature,#B16BA8,70
22,Plasmablasts,#B16BA8,13
23,T cells CD4+,#B16BA8,23
24,T cells CD8+,#B16BA8,24
25,#B16BA8,#B16BA8,31
26,#F39426,#B16BA8,65
27,B cells Memory,#B16BA8,21
28,B cells Naive,#B16BA8,9
29,CAFs MSC iCAF-like,#B16BA8,82
30,CAFs myCAF-like,#B16BA8,118
31,Cancer Basal SC,#B16BA8,58
32,Cycling T-cells,#B16BA8,39
33,Cycling_Myeloid,#B16BA8,24
34,DCs,#B16BA8,37
35,Endothelial ACKR1,#B16BA8,88
36,Endothelial CXCL12,#B16BA8,69
37,Endothelial RGS5,#B16BA8,79
38,Luminal Progenitors,#B16BA8,70
39,Macrophage,#B16BA8,51
40,Mature Luminal,#B16BA8,79
41,Monocyte,#B16BA8,36
42,Myoepithelial,#B16BA8,96
43,NK cells,#B16BA8,25
44,NKT cells,#B16BA8,34
45,PVL Differentiated,#B16BA8,60
46,PVL Immature,#B16BA8,57
47,Plasmablasts,#B16BA8,13
48,T cells CD4+,#B16BA8,25
49,T cells CD8+,#B16BA8,28
50,#B16BA8,#B16BA8,42
51,#F39426,#B16BA8,83
52,B cells Memory,#B16BA8,26
53,B cells Naive,#B16BA8,10
54,CAFs MSC iCAF-like,#B16BA8,98
55,CAFs myCAF-like,#B16BA8,134
56,Cancer Basal SC,#B16BA8,81
57,Cycling T-cells,#B16BA8,42
58,Cycling_Myeloid,#B16BA8,32
59,DCs,#B16BA8,41
60,Endothelial ACKR1,#B16BA8,86
61,Endothelial CXCL12,#B16BA8,69
62,Endothelial RGS5,#B16BA8,76
63,Luminal Progenitors,#B16BA8,72
64,Macrophage,#B16BA8,51
65,Mature Luminal,#B16BA8,83
66,Monocyte,#B16BA8,40
67,Myoepithelial,#B16BA8,109
68,NK cells,#B16BA8,27
69,NKT cells,#B16BA8,37
70,PVL Differentiated,#B16BA8,64
71,PVL Immature,#B16BA8,72
72,Plasmablasts,#B16BA8,18
73,T cells CD4+,#B16BA8,27
74,T cells CD8+,#B16BA8,27
75,#B16BA8,#B16BA8,35
76,#F39426,#B16BA8,67
77,B cells Memory,#B16BA8,21
78,B cells Naive,#B16BA8,8
79,CAFs MSC iCAF-like,#B16BA8,79
80,CAFs myCAF-like,#B16BA8,114
81,Cancer Basal SC,#B16BA8,61
82,Cycling T-cells,#B16BA8,37
83,Cycling_Myeloid,#B16BA8,29
84,DCs,#B16BA8,33
85,Endothelial ACKR1,#B16BA8,85
86,Endothelial CXCL12,#B16BA8,66
87,Endothelial RGS5,#B16BA8,76
88,Luminal Progenitors,#B16BA8,69
89,Macrophage,#B16BA8,48
90,Mature Luminal,#B16BA8,73
91,Monocyte,#B16BA8,38
92,Myoepithelial,#B16BA8,96
93,NK cells,#B16BA8,24
94,NKT cells,#B16BA8,35
95,PVL Differentiated,#B16BA8,57
96,PVL Immature,#B16BA8,57
97,Plasmablasts,#B16BA8,12
98,T cells CD4+,#B16BA8,24
99,T cells CD8+,#B16BA8,26
100,#B16BA8,#B16BA8,38
101,#F39426,#B16BA8,72
102,B cells Memory,#B16BA8,23
103,B cells Naive,#B16BA8,7
104,CAFs MSC iCAF-like,#B16BA8,86
105,CAFs myCAF-like,#B16BA8,131
106,Cancer Basal SC,#B16BA8,66
107,Cycling T-cells,#B16BA8,42
108,Cycling_Myeloid,#B16BA8,34
109,DCs,#B16BA8,43
110,Endothelial ACKR1,#B16BA8,93
111,Endothelial CXCL12,#B16BA8,71
